"Country or Area","Year(s)","Variant","Value"
"Greenland","2100","Medium","40.586"
"Greenland","2100","High","62.641"
"Greenland","2100","Low","24.439"
"Greenland","2100","Constant fertility","46.583"
"Greenland","2100","Instant replacement","52.471"
"Greenland","2100","Zero migration","51.205"
"Greenland","2100","Constant mortality","34.648"
"Greenland","2100","No change","40.368"
"Greenland","2100","Momentum","56.829"
"Greenland","2100","Instant replacement zero migration","64.436"
"Greenland","2100","Median PI","40.586"
"Greenland","2100","Upper 80 PI","54.853"
"Greenland","2100","Lower 80 PI","30.945"
"Greenland","2100","Upper 95 PI","66.358"
"Greenland","2100","Lower 95 PI","26.327"
"Greenland","2099","Medium","40.886"
"Greenland","2099","High","62.514"
"Greenland","2099","Low","24.954"
"Greenland","2099","Constant fertility","46.743"
"Greenland","2099","Instant replacement","52.54"
"Greenland","2099","Zero migration","51.371"
"Greenland","2099","Constant mortality","35.02"
"Greenland","2099","No change","40.62"
"Greenland","2099","Momentum","56.865"
"Greenland","2099","Instant replacement zero migration","64.325"
"Greenland","2099","Median PI","40.886"
"Greenland","2099","Upper 80 PI","54.981"
"Greenland","2099","Lower 80 PI","31.368"
"Greenland","2099","Upper 95 PI","66.003"
"Greenland","2099","Lower 95 PI","26.782"
"Greenland","2098","Medium","41.181"
"Greenland","2098","High","62.382"
"Greenland","2098","Low","25.465"
"Greenland","2098","Constant fertility","46.892"
"Greenland","2098","Instant replacement","52.597"
"Greenland","2098","Zero migration","51.535"
"Greenland","2098","Constant mortality","35.398"
"Greenland","2098","No change","40.874"
"Greenland","2098","Momentum","56.9"
"Greenland","2098","Instant replacement zero migration","64.209"
"Greenland","2098","Median PI","41.182"
"Greenland","2098","Upper 80 PI","55.083"
"Greenland","2098","Lower 80 PI","31.788"
"Greenland","2098","Upper 95 PI","65.647"
"Greenland","2098","Lower 95 PI","27.25"
"Greenland","2097","Medium","41.478"
"Greenland","2097","High","62.255"
"Greenland","2097","Low","25.978"
"Greenland","2097","Constant fertility","47.048"
"Greenland","2097","Instant replacement","52.659"
"Greenland","2097","Zero migration","51.695"
"Greenland","2097","Constant mortality","35.776"
"Greenland","2097","No change","41.121"
"Greenland","2097","Momentum","56.929"
"Greenland","2097","Instant replacement zero migration","64.099"
"Greenland","2097","Median PI","41.478"
"Greenland","2097","Upper 80 PI","55.084"
"Greenland","2097","Lower 80 PI","32.216"
"Greenland","2097","Upper 95 PI","65.287"
"Greenland","2097","Lower 95 PI","27.669"
"Greenland","2096","Medium","41.773"
"Greenland","2096","High","62.127"
"Greenland","2096","Low","26.497"
"Greenland","2096","Constant fertility","47.209"
"Greenland","2096","Instant replacement","52.724"
"Greenland","2096","Zero migration","51.853"
"Greenland","2096","Constant mortality","36.15"
"Greenland","2096","No change","41.373"
"Greenland","2096","Momentum","56.961"
"Greenland","2096","Instant replacement zero migration","63.983"
"Greenland","2096","Median PI","41.773"
"Greenland","2096","Upper 80 PI","55.101"
"Greenland","2096","Lower 80 PI","32.615"
"Greenland","2096","Upper 95 PI","64.9"
"Greenland","2096","Lower 95 PI","28.06"
"Greenland","2095","Medium","42.066"
"Greenland","2095","High","61.996"
"Greenland","2095","Low","27.012"
"Greenland","2095","Constant fertility","47.368"
"Greenland","2095","Instant replacement","52.784"
"Greenland","2095","Zero migration","52.01"
"Greenland","2095","Constant mortality","36.525"
"Greenland","2095","No change","41.627"
"Greenland","2095","Momentum","56.992"
"Greenland","2095","Instant replacement zero migration","63.864"
"Greenland","2095","Median PI","42.066"
"Greenland","2095","Upper 80 PI","55.166"
"Greenland","2095","Lower 80 PI","33.009"
"Greenland","2095","Upper 95 PI","64.655"
"Greenland","2095","Lower 95 PI","28.444"
"Greenland","2094","Medium","42.353"
"Greenland","2094","High","61.866"
"Greenland","2094","Low","27.523"
"Greenland","2094","Constant fertility","47.526"
"Greenland","2094","Instant replacement","52.842"
"Greenland","2094","Zero migration","52.167"
"Greenland","2094","Constant mortality","36.889"
"Greenland","2094","No change","41.878"
"Greenland","2094","Momentum","57.018"
"Greenland","2094","Instant replacement zero migration","63.751"
"Greenland","2094","Median PI","42.353"
"Greenland","2094","Upper 80 PI","55.251"
"Greenland","2094","Lower 80 PI","33.428"
"Greenland","2094","Upper 95 PI","64.63"
"Greenland","2094","Lower 95 PI","28.864"
"Greenland","2093","Medium","42.638"
"Greenland","2093","High","61.736"
"Greenland","2093","Low","28.035"
"Greenland","2093","Constant fertility","47.682"
"Greenland","2093","Instant replacement","52.898"
"Greenland","2093","Zero migration","52.319"
"Greenland","2093","Constant mortality","37.258"
"Greenland","2093","No change","42.13"
"Greenland","2093","Momentum","57.04"
"Greenland","2093","Instant replacement zero migration","63.635"
"Greenland","2093","Median PI","42.638"
"Greenland","2093","Upper 80 PI","55.255"
"Greenland","2093","Lower 80 PI","33.838"
"Greenland","2093","Upper 95 PI","64.628"
"Greenland","2093","Lower 95 PI","29.304"
"Greenland","2092","Medium","42.923"
"Greenland","2092","High","61.603"
"Greenland","2092","Low","28.548"
"Greenland","2092","Constant fertility","47.837"
"Greenland","2092","Instant replacement","52.954"
"Greenland","2092","Zero migration","52.467"
"Greenland","2092","Constant mortality","37.622"
"Greenland","2092","No change","42.38"
"Greenland","2092","Momentum","57.059"
"Greenland","2092","Instant replacement zero migration","63.518"
"Greenland","2092","Median PI","42.923"
"Greenland","2092","Upper 80 PI","55.254"
"Greenland","2092","Lower 80 PI","34.233"
"Greenland","2092","Upper 95 PI","64.447"
"Greenland","2092","Lower 95 PI","29.746"
"Greenland","2091","Medium","43.21"
"Greenland","2091","High","61.474"
"Greenland","2091","Low","29.067"
"Greenland","2091","Constant fertility","47.995"
"Greenland","2091","Instant replacement","53.01"
"Greenland","2091","Zero migration","52.62"
"Greenland","2091","Constant mortality","37.986"
"Greenland","2091","No change","42.626"
"Greenland","2091","Momentum","57.072"
"Greenland","2091","Instant replacement zero migration","63.403"
"Greenland","2091","Median PI","43.21"
"Greenland","2091","Upper 80 PI","55.279"
"Greenland","2091","Lower 80 PI","34.654"
"Greenland","2091","Upper 95 PI","64.077"
"Greenland","2091","Lower 95 PI","30.241"
"Greenland","2090","Medium","43.498"
"Greenland","2090","High","61.351"
"Greenland","2090","Low","29.591"
"Greenland","2090","Constant fertility","48.164"
"Greenland","2090","Instant replacement","53.07"
"Greenland","2090","Zero migration","52.774"
"Greenland","2090","Constant mortality","38.353"
"Greenland","2090","No change","42.874"
"Greenland","2090","Momentum","57.088"
"Greenland","2090","Instant replacement zero migration","63.288"
"Greenland","2090","Median PI","43.498"
"Greenland","2090","Upper 80 PI","55.288"
"Greenland","2090","Lower 80 PI","35.086"
"Greenland","2090","Upper 95 PI","63.662"
"Greenland","2090","Lower 95 PI","30.745"
"Greenland","2089","Medium","43.782"
"Greenland","2089","High","61.225"
"Greenland","2089","Low","30.113"
"Greenland","2089","Constant fertility","48.334"
"Greenland","2089","Instant replacement","53.129"
"Greenland","2089","Zero migration","52.922"
"Greenland","2089","Constant mortality","38.709"
"Greenland","2089","No change","43.126"
"Greenland","2089","Momentum","57.106"
"Greenland","2089","Instant replacement zero migration","63.178"
"Greenland","2089","Median PI","43.782"
"Greenland","2089","Upper 80 PI","55.32"
"Greenland","2089","Lower 80 PI","35.532"
"Greenland","2089","Upper 95 PI","63.382"
"Greenland","2089","Lower 95 PI","31.236"
"Greenland","2088","Medium","44.066"
"Greenland","2088","High","61.104"
"Greenland","2088","Low","30.637"
